Homework_1,Homework_2,Homework_3,Homework_4,Homework_5,Homework_6,Homework_7,Homework_8,Homework_9,Homework_10,Homework_11,Homework_12,Homework_13,Homework_14,Quiz_2,Quiz_3,Quiz_4,Quiz_5,Quiz_6,Quiz_7,Quiz_8,Quiz_9,Quiz_10,Quiz_11,Exam_1,Exam_2,Exam_3,Final_Exam
15,15,15,15,15,15,15,15,15,15,15,15,15,3,10,10,7,10,10,10,9,9,10,10,54,46,60,70
15,15,15,15,15,15,15,,15,15,15,14,15,14,10,9,8,10,10,10,10,10,10,8,58,51,59,70
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,59,53,51,70
14.78,15,15,15,15,15,15,15,15,15,15,13.75,15,15,10,9,8,10,10,10,10,10,10,10,52,51,47,70
15,14.86,15,15,15,15,15,15,14.88,14.88,15,15,15,15,10,10,10,10,10,10,10,10,10,10,52,55,45,70
15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,7,8,10,9,10,10,10,10,10,52,51,40,70
15,15,15,14.89,15,15,15,15,15,15,14.67,15,15,15,10,10,10,10,10,10,10,10,10,10,53,59,49,69
15,10.71,15,15,13.88,11.58,9.7,7.25,15,11.08,3.93,3,5,10,10,10,10,10,9,10,10,6,4,,55,48,45,69
15,15,15,15,14.88,15,14.55,13.92,14.61,13.75,14,15,15,15,8,7,10,8,10,10,10,10,10,10,50,36,45,69
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,9,10,10,10,10,10,10,9,10,58,58,60,68
14.39,15,15,15,15,15,15,15,15,15,15,15,8,7.67,10,10,10,10,10,9,10,10,9,10,59,60,58,68
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,9,10,9,10,5,10,8,9,8,51,41,53,68
15,15,15,14.67,,15,15,11.02,15,14.83,12.86,14.5,15,15,10,10,10,8,7,10,7,10,9,10,55,50,52,68
15,15,15,14.67,13.88,15,5.8,14.83,14.15,14.54,14.38,12.5,14,7,9,9,8,10,9,10,10,10,8,10,50,53,50,68
15,15,15,14.89,15,13.83,15,13.5,13.93,6.42,7,,,10,8,9,10,10,10,10,10,10,9,0,50,51,43,68
15,15,15,15,15,14.83,14.75,15,13.32,14.29,13.69,14.25,14.75,14.67,10,10,9,10,10,9,10,10,9,10,51,43,40,68
15,15,15,15,15,15,15,15,15,15,15,15,15,14,9,9,8,10,10,9,10,7,10,10,51,44,39,68
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,9,10,10,10,10,10,8,10,10,49,31,33,68
15,15,15,15,15,15,15,15,15,15,15,15,15,10,9,10,10,10,7,9,10,10,10,10,52,55,57,67
15,14.54,15,15,14.88,14.67,15,14.5,14.88,14.67,15,14.5,15,13.67,10,8,10,10,10,10,10,10,10,10,53,38,49,67
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,7,10,9,10,10,10,50,46,46,67
14.67,15,14.67,14.83,15,15,15,14.75,14.63,14.75,12.94,0,,0,10,8,10,10,10,10,10,6,10,10,54,56,42,67
15,15,15,15,15,15,15,15,15,15,15,15,15,15,7,9,10,10,9,7,10,10,7,7,59,57,41,67
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,9,8,10,10,10,10,10,10,10,50,48,38,67
15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,4,7,10,10,10,10,9,10,10,43,54,52,66
15,15,15,15,15,15,15,15,15,15,15,15,15,8,10,10,10,6,10,10,9,9,10,9,57,46,51,66
15,15,15,15,15,15,15,14,14.83,14.71,15,14.17,15,15,9,10,10,6,10,10,10,5,7,10,52,40,50,66
15,15,15,,14.88,14.71,5,9.6,14.75,11.21,15,13,14,,10,10,10,10,10,10,10,10,10,10,54,50,47,66
15,15,15,15,15,15,15,15,15,15,15,15,15,,10,10,10,10,10,10,10,10,10,0,52,40,46,66
15,15,15,15,15,15,14.5,15,14,15,15,14.5,15,15,10,10,10,10,10,9,10,10,9,9,42,29,45,66
15,15,15,14.89,15,14.33,15,11,14.59,11.67,15,13.5,15,,10,9,10,10,9,7,10,10,9,8,54,43,44,66
15,15,15,15,14.88,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,9,10,6,51,48,39,66
15,15,15,15,15,15,15,15,15,14.83,14.86,14,15,14,10,10,10,10,10,10,10,10,10,10,52,58,57,65
14,15,15,15,15,15,15,15,15,15,15,15,15,15,9,10,9,10,10,8,10,10,10,10,49,54,55,65
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,9,8,10,50,43,51,65
15,15,15,15,15,15,15,14,15,15,4.17,13,13.42,15,10,10,10,7,10,10,10,10,10,10,40,44,44,65
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,9,10,10,10,10,10,53,33,43,65
15,15,15,15,15,15,15,15,15,15,15,15,15,14,7,6,7,9,8,9,8,10,10,10,40,33,43,65
15,15,15,15,15,15,15,15,15,15,15,15,15,,10,6,10,10,3,9,10,7,10,10,30,38,39,65
15,15,15,15,15,15,15,15,15,15,15,15,15,,8,10,8,9,10,10,10,5,9,10,48,52,37,65
15,15,15,15,,15,15,15,15,15,15,15,,1,7,10,10,10,8,10,10,7,10,10,51,56,35,65
8.89,13.33,,14,2,11.8,,11.67,4,10.88,,,2,,10,5,10,,,,7,7,,,49,39,33,65
